time_s,elapsed_us,pres_in,flow_in,flow_left,flow_right,pres_left,pres_right
0.001836,1836,-0.00492264,-0.11432311,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.003752,3752,-0.00492264,-0.35398099,-0.45097923,-0.23763975,-0.00048216,0.00666663
0.005664,5664,0.00321316,-0.35398099,0.02571751,-0.23763975,-0.00048216,-0.00146515
0.007576,7576,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.009488,9488,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.011404,11404,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.013396,13396,-0.00492264,-0.35398099,0.02571751,-0.23763975,-0.00048216,-0.00146515
0.0154,15400,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.017376,17376,-0.00492264,-0.35398099,-0.21263086,-0.23763975,-0.00048216,0.00666663
0.01936,19360,-0.00492264,-0.11432311,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.021344,21344,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.023328,23328,-0.00492264,-0.35398099,-0.21263086,-0.47601789,-0.00048216,-0.00146515
0.025312,25312,0.00321316,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.027296,27296,-0.00492264,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.02928,29280,0.00321316,-0.35398099,0.02571751,-0.23763975,-0.00048216,0.00666663
0.031264,31264,-0.00492264,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.033248,33248,0.00321316,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.035232,35232,-0.00492264,-0.35398099,0.02571751,-0.23763975,-0.00048216,-0.00146515
0.037216,37216,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.0392,39200,0.00321316,-0.35398099,-0.45097923,-0.47601789,-0.00048216,-0.00146515
0.041192,41192,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.043184,43184,-0.00492264,-0.35398099,0.02571751,-0.23763975,-0.00048216,0.00666663
0.045176,45176,0.00321316,-0.35398099,-0.45097923,-0.47601789,-0.00048216,-0.00146515
0.047168,47168,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,0.00666663
0.049168,49168,0.00321316,-0.35398099,0.02571751,-0.23763975,-0.00048216,0.00666663
0.051144,51144,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.053128,53128,0.00321316,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.055112,55112,0.00321316,-0.35398099,-0.45097923,-0.23763975,0.00763905,-0.00146515
0.057096,57096,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.05908,59080,-0.00492264,-0.11432311,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.061064,61064,-0.00492264,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.063048,63048,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.065032,65032,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.067016,67016,0.00321316,-0.11432311,0.02571751,-0.23763975,-0.00048216,-0.00146515
0.069,69000,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,0.00666663
0.070984,70984,-0.00492264,-0.11432311,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.072976,72976,-0.00492264,-0.35398099,-0.45097923,-0.23763975,-0.00048216,0.00666663
0.074968,74968,-0.00492264,-0.35398099,-0.21263086,-0.23763975,0.00763905,-0.00146515
0.07696,76960,-0.00492264,-0.11432311,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.078952,78952,0.00321316,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.080944,80944,0.00321316,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.082928,82928,-0.00492264,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
0.08492,84920,-0.00492264,-0.35398099,-0.45097923,-0.23763975,-0.00048216,-0.00146515
0.086904,86904,-0.00492264,-0.35398099,-0.45097923,-0.23763975,-0.00048216,0.00666663
0.088888,88888,0.00321316,-0.11432311,-0.21263086,-0.23763975,-0.00048216,0.00666663
0.090872,90872,0.00321316,-0.35398099,-0.21263086,-0.23763975,-0.00048216,-0.00146515
