time_s,elapsed_us,pres_in,flow_in,flow_left,flow_right,pres_left,pres_right
0.000004,4,0.00533628,0.0715995,-0.07635989,0.13648674,-0.00012975,-0.00011314
0.001836,1836,0.00533628,0.3096095,0.16041686,0.13648674,0.00798164,-0.00011314
0.003752,3752,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,-0.00011314
0.005664,5664,0.00533628,0.0715995,-0.07635989,0.13648674,-0.00012975,-0.00011314
0.007576,7576,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,-0.00011314
0.009488,9488,0.00533628,0.0715995,-0.07635989,0.13648674,-0.00012975,-0.00011314
0.011404,11404,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,0.00800764
0.013396,13396,0.00533628,0.0715995,0.16041686,0.13648674,0.00798164,0.00800764
0.0154,15400,0.00533628,0.0715995,0.16041686,0.13648674,0.00798164,-0.00011314
0.017376,17376,0.00533628,0.0715995,-0.07635989,0.13648674,-0.00012975,0.00800764
0.01936,19360,0.00533628,0.3096095,0.16041686,0.13648674,-0.00012975,-0.00011314
0.021344,21344,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,0.00800764
0.023328,23328,0.00533628,0.0715995,0.16041686,0.13648674,0.00798164,-0.00011314
0.025312,25312,0.00533628,0.0715995,-0.07635989,0.13648674,-0.00012975,-0.00011314
0.027296,27296,0.00533628,0.3096095,0.16041686,0.13648674,-0.00012975,-0.00011314
0.02928,29280,0.00533628,0.0715995,-0.07635989,0.13648674,-0.00012975,-0.00011314
0.031264,31264,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,-0.00011314
0.033248,33248,0.00533628,0.3096095,0.39719362,0.13648674,-0.00012975,0.00800764
0.035232,35232,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,-0.00011314
0.037216,37216,0.00533628,0.3096095,0.16041686,0.13648674,-0.00012975,0.00800764
0.0392,39200,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,-0.00011314
0.041192,41192,0.00533628,0.3096095,-0.07635989,0.13648674,0.00798164,-0.00011314
0.043184,43184,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,0.00800764
0.045176,45176,0.00533628,0.0715995,-0.07635989,0.13648674,-0.00012975,0.00800764
0.047168,47168,0.00533628,0.0715995,0.16041686,0.13648674,-0.00012975,0.00800764
0.049168,49168,-0.00278761,0.3096095,0.16041686,0.13648674,-0.00012975,0.00800764
