time_s,elapsed_us,pres_in,flow_in,flow_left,flow_right,pres_left,pres_right
0.001836,1836,0.00113381,-0.18252692,0.05897146,-0.22228136,0.002382,0.00124297
0.003752,3752,0.00113381,0.06159811,-0.18367542,0.02041232,-0.00574532,0.00124297
0.005664,5664,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.007576,7576,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.009488,9488,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.011408,11408,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.0134,13400,0.00113381,0.06159811,-0.18367542,0.02041232,-0.00574532,0.00124297
0.0154,15400,0.00113381,0.06159811,-0.18367542,0.02041232,-0.00574532,0.00124297
0.017376,17376,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,-0.00689512
0.01936,19360,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,-0.00689512
0.021344,21344,0.00113381,0.06159811,-0.18367542,-0.22228136,0.002382,0.00124297
0.023328,23328,-0.00700441,0.06159811,-0.18367542,0.02041232,-0.00574532,0.00124297
0.025312,25312,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,-0.00689512
0.027296,27296,0.00113381,-0.18252692,0.05897146,0.02041232,0.002382,0.00124297
0.02928,29280,0.00113381,0.06159811,-0.18367542,0.02041232,-0.00574532,0.00124297
0.031264,31264,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.033248,33248,-0.00700441,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.035232,35232,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,-0.00689512
0.037216,37216,-0.00700441,-0.18252692,0.05897146,-0.22228136,-0.00574532,-0.00689512
0.0392,39200,0.00113381,0.06159811,0.05897146,0.26310599,-0.00574532,-0.00689512
0.041192,41192,-0.00700441,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.043184,43184,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.045176,45176,-0.00700441,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.047168,47168,0.00113381,0.06159811,0.05897146,-0.22228136,0.002382,0.00124297
0.049168,49168,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.051144,51144,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.053128,53128,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,-0.00689512
0.055112,55112,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.0571,57100,0.00113381,-0.18252692,0.05897146,-0.22228136,0.002382,0.00124297
0.059084,59084,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.061064,61064,0.00113381,0.06159811,0.30161833,0.02041232,-0.00574532,-0.00689512
0.063048,63048,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.065032,65032,-0.00700441,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.067016,67016,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.069,69000,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,-0.00689512
0.070984,70984,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.072976,72976,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,-0.00689512
0.074968,74968,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,-0.00689512
0.07696,76960,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.078952,78952,0.00113381,0.06159811,-0.18367542,-0.22228136,-0.00574532,0.00124297
0.080944,80944,0.00113381,0.06159811,0.30161833,0.02041232,-0.00574532,0.00124297
0.082928,82928,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.08492,84920,0.00113381,-0.18252692,-0.18367542,-0.22228136,0.002382,0.00124297
0.086904,86904,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.088888,88888,0.00113381,-0.18252692,0.05897146,0.02041232,-0.00574532,-0.00689512
0.090872,90872,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.09286,92860,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.09484,94840,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.096824,96824,0.00113381,-0.18252692,-0.18367542,0.02041232,-0.00574532,0.00124297
0.098808,98808,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.100792,100792,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.102848,102848,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.104904,104904,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.10696,106960,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.109016,109016,0.00113381,0.06159811,-0.18367542,-0.22228136,0.002382,0.00124297
0.111072,111072,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.113128,113128,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.115184,115184,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.11724,117240,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.119296,119296,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.121352,121352,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.123408,123408,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.125464,125464,0.00113381,-0.18252692,0.05897146,0.02041232,0.002382,0.00124297
0.12752,127520,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.12958,129580,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.131632,131632,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.133688,133688,0.00113381,-0.18252692,-0.18367542,0.02041232,-0.00574532,0.00124297
0.135744,135744,0.00113381,0.06159811,0.30161833,0.02041232,-0.00574532,0.00124297
0.1378,137800,0.00113381,-0.18252692,0.05897146,0.02041232,-0.00574532,0.00124297
0.139856,139856,0.00113381,-0.18252692,0.05897146,-0.22228136,-0.00574532,0.00124297
0.141912,141912,0.00113381,0.06159811,-0.18367542,0.02041232,-0.00574532,0.00124297
0.143972,143972,0.00113381,0.06159811,-0.18367542,-0.22228136,0.002382,0.00124297
0.146028,146028,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.14808,148080,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.150136,150136,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.152196,152196,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.154252,154252,0.00113381,-0.18252692,-0.18367542,0.02041232,-0.00574532,0.00124297
0.156304,156304,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,-0.00689512
0.15836,158360,-0.00700441,0.06159811,0.30161833,0.02041232,-0.00574532,0.00124297
0.16042,160420,-0.00700441,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.162472,162472,0.00113381,0.06159811,-0.18367542,0.02041232,-0.00574532,0.00124297
0.164528,164528,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.166584,166584,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.16864,168640,-0.00700441,-0.18252692,-0.18367542,0.02041232,-0.00574532,0.00124297
0.170696,170696,0.00113381,-0.18252692,-0.18367542,-0.22228136,0.002382,0.00124297
0.172752,172752,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.174812,174812,0.00113381,-0.18252692,0.05897146,0.02041232,-0.00574532,0.00124297
0.176864,176864,0.00113381,0.06159811,-0.18367542,-0.22228136,0.002382,0.00124297
0.17892,178920,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.180976,180976,-0.00700441,-0.18252692,-0.18367542,0.02041232,-0.00574532,0.00124297
0.183032,183032,0.00113381,-0.18252692,0.05897146,0.02041232,0.002382,0.00124297
0.185088,185088,0.00113381,0.06159811,0.30161833,0.02041232,0.002382,0.00124297
0.187144,187144,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.1892,189200,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,-0.00689512
0.191256,191256,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,0.00124297
0.193312,193312,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.195368,195368,0.00113381,0.06159811,0.30161833,0.26310599,0.002382,-0.00689512
0.197424,197424,0.00113381,0.06159811,-0.18367542,0.02041232,0.002382,0.00124297
0.19948,199480,0.00113381,0.06159811,0.05897146,0.02041232,0.002382,-0.00689512
0.201536,201536,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.203592,203592,0.00113381,-0.18252692,-0.18367542,0.02041232,0.002382,-0.00689512
0.205648,205648,0.00113381,0.06159811,0.30161833,0.02041232,-0.00574532,0.00124297
0.207704,207704,0.00113381,-0.18252692,0.05897146,0.02041232,0.002382,0.00124297
0.20976,209760,-0.00700441,-0.18252692,-0.18367542,0.02041232,0.002382,0.00124297
0.211816,211816,0.00113381,0.06159811,-0.18367542,-0.22228136,0.002382,0.00124297
0.213872,213872,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.215928,215928,-0.00700441,-0.18252692,-0.18367542,0.02041232,-0.00574532,0.00124297
0.217984,217984,0.00113381,0.06159811,0.05897146,0.02041232,-0.00574532,0.00124297
0.22004,220040,0.00113381,0.06159811,0.30161833,0.02041232,-0.00574532,-0.00689512
