parameter_1,parameter_2,pin_up_avg,Qin_up_avg,pin_up_std,Qin_up_std,pin_down_avg,Qin_down_avg,pin_down_std,Qin_down_std
14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,22.0,1.2884877411111113,130.25425597333333,0.024277625433926153,1.4256026699236204,1.1503463954545454,121.41438842000001,0.06004196404570763,3.4061874964285783
16.0,32.0,2.029375423333333,178.75187798333332,0.05462531321361163,0.9832816313061298,1.2919371685858587,133.01164585333333,0.023468990147987322,2.194192878125532
18.0,22.0,0.9771188760606061,110.56857510333333,0.028837570584230712,1.6557038768601493,0.7906875657575757,97.43358795,0.026175241067698172,1.0126909722984598
18.0,32.0,1.6109853330303032,153.13566311,0.09396845006435703,4.271162861423333,0.9889453555555555,111.29829661333332,0.03490763133990337,1.4661841272920562
20.0,22.0,0.7562904033333333,92.94839289333333,0.04800640659031756,2.1896919650000015,0.6399133007070706,85.08172176333333,0.06362640111597356,2.9229664859382227
20.0,32.0,1.0662460755555554,116.79170538666666,0.04388121871263775,1.2874178634081177,0.9674446256565655,110.06043009,0.05555099233742647,2.125678740035255
24.0,22.0,0.4820609418181818,70.80817414666667,0.03353860064481283,1.060516222072599,0.396235908989899,61.725007483333336,0.013899262476827112,0.5064674793828857
24.0,32.0,0.6809187843434343,86.22186209666667,0.06468496944443354,3.0613189717147913,0.6248174421212122,80.86950493666667,0.036760469974064486,1.7088055114876186
